# feature1,feature2,output
5.252258134172372195e+00,1.120004915866750217e+01,2.440835647340611558e+02
1.028860806582485665e+01,1.864545394365635378e+00,1.777114564188730412e+02
1.964586492811666218e+01,2.721511763050711252e+01,6.201398883794413450e+02
2.775730163096365999e+01,7.732111397164734967e+01,8.118182510516497814e+02
1.672044887776053912e+01,2.442845836866203157e+00,2.711839098672278396e+02
3.707735943776084042e+01,5.601239042274388424e+01,9.240209632791346621e+02
5.799935708984600069e+01,5.987918455564189557e+00,5.894977679193634685e+02
3.978884014030589356e+01,4.964286970098098806e+01,9.276174797667205212e+02
2.043726914698792285e+01,2.653420981407672485e+01,6.226890473550976139e+02
1.214032155066269070e+01,3.102069392536573744e+01,5.601152358864835605e+02
8.216947369267735723e+01,9.861209470744056205e+01,7.214719840642164854e+02
3.886446708830073504e+01,6.858631529099878321e+01,9.269604493264419034e+02
5.630599342649924210e+01,6.760394628496386815e+01,9.900669294944389094e+02
7.937097885522619833e+01,2.550714502106054127e+01,7.801393039778522507e+02
2.449756579193745765e+01,6.676777041371911992e+01,8.165110788889653577e+02
8.256651661693589972e+01,7.781459485355268768e+00,5.452617787998952963e+02
3.560589136044869463e+01,4.363815781211345524e+01,8.788407289828439843e+02
5.370252876854808122e+00,8.560832177051132419e+01,4.884520484216769773e+02
2.823082258572984227e+00,5.955261065267067977e+01,5.405704412087818582e+02
2.283562492770596464e+01,2.237912208797395763e+01,6.070375278510030057e+02
9.395905465519092559e+01,9.466001250411743229e+01,6.691625579075838459e+02
9.052112489953630359e+01,2.199684756859240409e+01,6.661764231683894195e+02
9.706213385380362979e+01,7.419498943917311351e+01,7.787185926105928502e+02
4.588033366757997555e+01,1.631057672732046981e+01,7.037965900295279198e+02
1.995945354392527804e+01,2.495343405601150266e+01,6.021199641219736804e+02
6.707479975615720491e+01,1.510053064182205240e+01,7.097162826616699931e+02
4.654287277096405262e+01,1.868977927849266862e+01,7.347900050325843040e+02
4.439766457717867354e+01,4.141678784387086409e+01,9.173556616680184561e+02
4.693180781777148525e+01,3.812790470583746583e+01,9.088662790183711877e+02
1.617505173020211728e+01,1.130468789959415687e+00,2.430297487470723468e+02
6.123123960825125067e+01,3.749504471101259639e+01,9.287099230466106974e+02
4.178215710244691650e+01,3.519863949350971666e+01,8.670036234759926401e+02
6.418062004906333584e+01,8.965048150513779035e+01,8.740833588279233481e+02
6.855310887956889587e+01,1.225296932335384614e+00,5.042752710068812121e+02
5.361091925634806898e+01,8.909503531017911371e+01,8.753887533516478925e+02
9.817494341087046905e+01,1.038928298501869918e+01,4.493270415964663016e+02
9.666012825428319388e+01,2.164656483927763730e+01,6.044470701802395070e+02
4.886808166530887121e+01,5.561887465132119246e+01,9.799961769488119216e+02
2.969278965245962709e+01,5.306295137720352528e+01,8.642413195518494149e+02
3.157383574170863483e+01,9.782630143685022261e+00,5.320763617579425500e+02
2.712772085475233652e+01,3.431963491714692083e+01,7.555309015870091116e+02
3.411936921208986462e+01,5.829668849619068283e+01,9.055572366110006897e+02
3.148401585632267796e+01,7.932535322409228229e+01,8.333211477859374554e+02
3.077383878220367563e+01,8.460318999127079564e+01,7.949691142630515515e+02
1.182897468882914183e+01,2.717201575220973098e+01,5.224771828527794924e+02
7.668492348689803784e+00,7.001306966297235590e+01,6.010881092648334061e+02
5.947701562302486167e+01,1.002338588479503301e+01,6.490062592859990218e+02
1.234797321450992236e+01,8.830974406890346984e+01,5.682945721904258107e+02
7.398753821931920527e+01,5.065565963796188242e+01,9.603385167974470278e+02
8.668991261893503975e+01,1.161545325863310119e+01,5.709288424961304145e+02
1.296755798844545460e+01,2.040454079216901206e+01,4.688222863402437497e+02
4.154310768163410472e+01,1.043816970227184893e+00,4.636725926255079457e+02
5.996454317689442348e+01,8.672805547646539992e+01,8.996984980103951557e+02
9.720501636732926443e+00,4.964815738387203936e+01,6.297141812251060173e+02
3.952958684658439381e+01,5.432064702244696264e+01,9.366790350021288987e+02
7.671961147598543107e+01,1.030229466876700961e+01,6.136597823451736531e+02
9.689501465902931443e+01,2.539684572956689834e+01,6.404764848949524776e+02
1.952183718810710644e+01,4.172407184150965520e+01,7.228618544284901191e+02
6.197659158286785441e+01,8.173444136915549052e+01,9.331650766871495080e+02
1.042492948822778587e+01,6.310571709881788394e+01,6.533076797974974852e+02
3.121374658803480884e+01,8.972561040560590584e+01,7.594394911278960763e+02
1.001938263716650734e+00,6.215397923973541339e+01,5.102083074074283218e+02
2.740288829154266992e+01,1.533293899891757839e+01,5.703241278296928840e+02
4.004694670801407597e+01,1.678863972539067362e+01,6.816986603513154250e+02
5.359381691941697312e+01,7.059073982409552173e+01,9.785780712549914142e+02
1.537743399727934346e+01,8.984750112200417504e+01,5.950162031823709867e+02
7.709453940736122490e+01,5.157101326943323016e+01,9.490512326885826724e+02
7.551999173568458446e+01,8.354763900596751114e+01,8.883173115015130179e+02
6.418307561824470042e+01,3.487216629841039861e+01,9.089028314094769030e+02
3.073247386679914683e+01,9.448747936910841361e+01,7.125331880655865007e+02
8.785464866691053487e+01,9.329981997797544579e+01,7.351932876111104633e+02
7.576330287776823980e+01,2.545051716901128813e+01,7.974059715469284129e+02
5.239179794200564544e+01,5.276169555497429542e+01,9.846115626088918589e+02
7.704392221387411155e+01,8.852411789927768382e+01,8.449186259653015441e+02
2.150524661421170336e+01,7.117579853658407174e+00,3.987475499345424623e+02
6.970429037519491544e+01,4.204730770596098921e+01,9.415733415254323972e+02
4.144644109305185253e+01,3.891642725653156276e+01,8.892463825238357913e+02
7.983374470725792094e+01,6.897066469518648546e+01,9.335084048369262746e+02
6.189264502112645516e+01,5.090625842432200443e+01,9.879849003820108919e+02
4.839673146402023463e+01,6.471833838986245269e+01,9.780586228231732093e+02
1.890373273450201097e+01,3.162009164494139668e+01,6.495141093297719408e+02
5.588776205684649057e+01,1.450591188529586262e+01,7.068197378602657182e+02
1.985135197980447685e+01,5.782423654107841315e+01,7.728786175951079258e+02
7.324902250117939673e+01,3.272562986039627475e+01,8.708787364454603903e+02
2.625694164661056362e+01,2.183652918015278743e+01,6.353567723028050978e+02
6.594112464155925579e+01,2.614753789403312378e+00,5.322826459534735477e+02
9.059223165192830152e+01,5.923826599434519835e+01,8.684840415290714191e+02
3.934117977137674416e+01,6.631711303805282398e+01,9.345144491893457825e+02
3.485413612883980505e+01,4.370254764164305072e+01,8.739016469574773964e+02
8.185536504213366982e+01,1.361465343378767123e+01,6.305478672947011773e+02
9.306971999311299726e+01,6.354977151846883032e+01,8.446253267379231602e+02
3.707455092871708757e+01,9.003260688457326921e+01,7.994602028144755650e+02
1.700412784846623282e+01,2.127248026242249779e+01,5.294570903906126205e+02
3.735958237526683234e+01,5.697484862004485962e+01,9.267770924116558717e+02
8.200138599124328209e+01,3.188575415257401957e+01,8.209743340824968527e+02
6.735474055545265060e+01,6.948778192125212172e+01,9.798561317031964109e+02
6.111114176781529039e+01,6.556817314955563347e+01,9.955805422691111062e+02
9.496597221896740493e+00,1.994822435291025897e+01,4.161287148462299683e+02
5.451450354853487568e+01,6.453145716667279430e+01,9.929962938691772933e+02
1.141551457125740043e+01,7.992759987480756934e+01,6.125136498847118673e+02
8.494823989957305344e+01,1.731377280780500527e+01,6.565130334612368870e+02
7.511609573248479421e+01,1.504767975754355191e+01,6.839670684362490647e+02
1.874490092974268052e+00,4.975398431522006604e+01,5.104690679239162137e+02
4.123714326428180499e+01,8.114020659201525376e+00,5.722242501925890110e+02
3.237822983884414896e+01,4.625063174510530928e+01,8.662994215581715025e+02
3.841222657258832385e+01,2.762064469443787829e+01,7.872427388111664186e+02
5.117672542115920464e+01,1.296226741884249911e+01,6.781773259237510274e+02
5.924648636448512917e+01,3.150196972315441002e+01,8.858794575943678637e+02
8.893469634085863618e+01,7.868235079408950128e+01,8.333750864171342982e+02
5.420502760442123957e+01,8.465759697085881896e+01,9.099327525420544589e+02
6.271741184279192538e+01,5.542773096761772678e+01,9.961356378288913902e+02
3.941085962053821845e+01,6.436680719337041978e+01,9.378472379733389062e+02
2.703380724681302283e+01,1.086428176239953025e+01,5.080046673491034426e+02
4.193250611850274367e+01,7.115990776566306408e+01,9.367233092650483286e+02
9.952169632782970154e+01,2.433255972722417937e+01,6.017511907520074601e+02
4.969303617036180754e+01,8.506781632831963691e+01,8.968537773571915750e+02
6.236690764757286587e+01,6.808533034414709917e+00,6.016382333234855651e+02
5.561537312039575198e+01,8.235546297564810914e+01,9.271633993282848678e+02
8.929297522982275837e+01,6.036116395315329441e+01,8.794835838361544802e+02
1.574869177874563775e+01,2.371842863646433930e+00,2.580786350688816242e+02
2.897643169892658577e+01,4.278784688503805000e+01,8.231883816400261367e+02
1.099033482269047290e+01,9.589278777270109799e+01,4.814179334132476811e+02
6.484415176621300247e+01,2.673786080865537684e+01,8.413041497746926325e+02
2.807846293106087643e+01,9.159461099804910589e+01,7.165771014159382730e+02
2.277804492182670160e+01,2.592574761865292743e+01,6.421760855150732823e+02
5.503433969663419134e+01,4.622123879668661317e+01,9.699605645676983841e+02
4.282911910579549897e+01,7.233743735693933274e+01,9.372751928202029603e+02
4.458708215001616537e+01,2.679923983648106045e+01,8.117850898501760639e+02
4.372412624879671483e+01,2.269085756690736311e+00,4.944163466811211833e+02
9.646578642704038486e+01,3.674608847765207997e+01,7.371978584758797979e+02
9.579094678272866759e+01,1.017457120176924512e+01,4.711113871262770658e+02
1.369779205091238339e+01,4.224873237233409640e+01,6.544786901848107163e+02
4.293046595715065195e+01,3.214532057537865484e+01,8.501007926068991765e+02
1.417564670019778639e+01,9.811071462479982586e+01,5.008067775152931063e+02
8.486465225458739781e+01,1.577412725178339858e+00,4.334579876988051410e+02
6.740375518675965338e+01,5.768456697058781657e+01,9.916536737824158081e+02
9.722886392263349364e+01,6.069860380640803754e+01,8.052311554624762948e+02
9.226342453001146282e+01,2.295473196041074715e+01,6.609052326667199395e+02
3.605635802704026105e+01,6.850047170342887171e+01,9.093737213976592102e+02
5.131069584890261126e+01,1.955861763296773415e+00,5.159409705148750618e+02
7.945720637813650455e+01,9.153877576266025073e+01,8.070863995619174602e+02
3.688715354089185894e+01,4.304323716801688704e+01,8.846102203524527567e+02
5.242149566494814650e+01,6.185638566042559461e+01,9.915548507396686091e+02
9.558791519488127619e+01,6.476727246352336920e+01,8.189004247182417657e+02
9.540479093618941420e+01,4.056832434230205564e+01,7.708487639975508046e+02
1.554720311646980946e+01,5.073173408928158779e+01,7.102874046112373208e+02
9.907929916760525657e+01,2.762821211912901376e+01,6.381567259410616089e+02
1.998556666379637292e+01,9.473401102420038455e+01,6.054794146070364604e+02
7.266229954636487776e+01,1.225133369596224142e+01,6.571117703398670074e+02
4.914113879609156754e+01,5.199506275868293415e+01,9.745312639524497627e+02
5.425605365206487285e+00,8.914935325879591232e+01,4.620476036695921493e+02
7.656319325113693708e+01,4.294173970738827961e+01,9.206510571509764986e+02
2.455244808817960234e+01,6.092235874247188576e+01,8.233767752448144392e+02
3.669110580811112499e+01,4.146710182281927359e+01,8.754686705128211770e+02
5.776768531366043646e+01,1.088530242274253723e+01,6.603491414740349228e+02
9.144158442144514254e+01,7.124671437893921677e+01,8.433807445225794481e+02
7.652322057645613995e+01,7.013768195412598061e+01,9.472916780422292504e+02
6.070822322323435571e+01,9.089561014246643822e+01,8.658731091113354523e+02
9.990666692297243401e+01,4.478778633807642962e+01,7.437400741277567704e+02
4.328097276712261987e+01,6.876504004084141286e+01,9.500237977925944506e+02
1.242322004624355536e+01,9.933758489908144895e+01,4.644446538255284054e+02
7.484296766151532054e+00,7.277326466843808817e+01,5.895332094881410967e+02
2.707619809304237890e+01,2.176318491051542026e+01,6.422460632079961442e+02
6.022838783437990173e+01,9.263786418849757354e+01,8.503776671102808677e+02
1.945327739480606866e+01,5.281066207134830393e+01,7.617639058992900800e+02
6.341511067268468338e+01,9.165879245184649449e+01,8.575939653387526960e+02
7.661370728789897555e+01,1.656417205124083303e+00,4.828587371979685372e+02
8.473402936605927493e+01,4.973712733961627919e+01,8.993177875916569519e+02
8.161359960433802030e+01,3.865610518414796104e+01,8.704174702135352391e+02
1.115507180070466298e+01,2.039863718360558309e+01,4.443308375653849112e+02
2.221720367688385522e+01,4.716230237476383991e+01,7.762944261231009477e+02
4.794281741993170698e+01,4.820879070644505759e+01,9.601360640734607159e+02
5.709856703870893568e+01,6.087999218912570853e+01,9.988199194690976128e+02
4.989194112759842881e+01,5.328391200625370061e+01,9.794107756026603511e+02
1.008463742963072818e+01,4.119006923757261518e+01,6.001732627233839139e+02
9.553903662396169238e+01,6.292696544899683886e+01,8.213793606828414795e+02
3.554257272383318877e+01,2.989285858163559517e+00,4.591889370027425912e+02
3.068082271028148611e+01,5.319582257619238419e+01,8.727786467365458520e+02
9.709951688462406594e+01,1.529939705322875909e+01,5.257952282824742269e+02
7.251480553956290009e+01,7.492927790641211061e+01,9.467696044460384428e+02
6.512883655638844971e+01,3.928969260317869328e+01,9.361267906756148705e+02
3.187116285668817284e+01,3.747933395257747691e+01,8.176093561068760209e+02
1.985679561917098468e+01,8.309156576277818829e+01,6.986568500892572047e+02
3.849636816959456365e+00,6.589735038736405670e+01,5.520622208762662240e+02
2.794527167834880288e+01,5.079399556669095261e+01,8.437751077518501006e+02
4.063956271371078799e+01,9.779237074169388677e+01,7.466726408309049248e+02
8.770871575115518226e+01,8.429637772296419485e+01,8.092215316683414130e+02
1.709744765553325863e+01,6.112088195794225243e+01,7.412196002266723553e+02
6.659386753442608153e+01,2.724246059892166016e+01,8.431736090556504450e+02
4.844993531229404482e+01,5.524456600162744024e+01,9.781823719806028521e+02
5.384691961354819512e+01,4.062688078298737082e+01,9.420363782074051642e+02
9.615468303251249438e+01,9.953848413624703539e+01,5.966458211830916980e+02
7.812199094111737452e+01,6.122088753649840243e+01,9.537422243474111383e+02
2.172313790019808621e+00,4.208725478254359942e+00,9.256764865146742238e+01
3.237247242329721608e+00,4.389557176476155398e-01,4.859810613748063446e+01
6.904891898660892480e+00,6.463795387553363980e+01,6.008417296320342302e+02
4.306867362762412554e+00,7.941663235861540215e+00,1.832154585452261415e+02
3.407721153946128112e+01,3.710440203076849031e+01,8.319761812999796575e+02
2.035663711850705937e+01,7.059441957317055483e+01,7.634344910895706562e+02
6.262287902643340942e+01,7.079162710664455460e+00,6.054951407364843590e+02
4.667640197819216041e+01,7.622421430421501043e+01,9.381618515725749603e+02
5.991383289939777512e+01,9.306375350954448322e+01,8.464509042684063616e+02
2.206193742820488168e+01,3.332262228509758017e+01,6.977738895792230096e+02
5.552283501694807200e+01,5.070030921083051112e+01,9.851384505905549531e+02
7.092247157790862389e+01,8.596104621937233503e+01,8.886103954166019321e+02
8.051217838631730217e+01,2.114988604721366272e+01,7.288229914563033844e+02
4.842462222511196046e+01,2.634196781238767926e+01,8.220452910961220141e+02
4.685540480251469830e+01,5.112531230321347664e+01,9.647559094283041077e+02
6.519177723269159230e+01,8.975202563244343423e+01,8.719034469328069008e+02
6.726926938536306011e+01,1.032122600416118807e+01,6.457892444640135636e+02
3.292481191361705584e+01,1.297948069165401108e+01,5.863088466314627567e+02
6.407509278114743267e+01,9.172877077012981317e+01,8.562756464279860893e+02
5.996637065022093793e+01,7.929953829667188359e+01,9.477577842903970122e+02
5.991068399626136198e+01,7.212297640133526500e+01,9.794535275497959219e+02
2.240066894995490543e+01,1.690200728393677210e+01,5.403249430714487289e+02
2.230347403687953545e+01,2.745818761373847039e+01,6.515275742001120989e+02
6.469857940305020350e+01,3.937766624781195901e+01,9.372322119537504932e+02
1.745089441724196888e+01,5.955699111914059429e+00,3.351004024523100497e+02
4.974914392776654637e+01,8.583570985054937807e+01,8.915216901934013549e+02
7.732201894731703362e+01,8.224711776452279821e+01,8.883700007941457670e+02
1.998454009970761547e+01,7.278292210012261876e+01,7.520770670560050348e+02
1.848804828679308088e+01,6.109729990280298040e+01,7.577266603559962732e+02
1.266049159536769508e+01,6.832464600066023408e+00,2.877880244762752682e+02
5.003273672660342442e+01,7.301608866789877084e-02,4.813687038259542987e+02
2.393575373146831353e+01,6.747226733462774462e+00,4.186940044554938822e+02
4.084759212002153816e+01,7.583047593507123452e+01,9.133286567862057836e+02
7.755308182000254646e+01,9.207091016827665442e+01,8.122341108700043151e+02
6.886820410498614820e+01,5.938222675163640218e-02,4.840487354076500992e+02
6.671722556639492652e+00,5.764696269042239862e+01,5.995990755662637639e+02
8.071621125757863524e+01,1.564039466624922525e+01,6.632025824554984865e+02
5.455869164396275295e+01,1.059444625347524216e+01,6.528602146188810593e+02
8.977422057185401627e+01,2.681916136733070033e+01,7.207561424939791550e+02
3.614359022713300362e+01,5.946981011647765314e+01,9.200767674085899444e+02
8.328826990309507039e+01,2.217856540860896342e+00,4.545881319495446746e+02
2.277248613828934865e+01,4.433091872473139716e+01,7.708039741925610997e+02
1.983430666726787450e+01,1.633327021210576646e+01,5.053372150231853084e+02
3.681117848627146572e+01,9.260983445110733214e+01,7.750608059412209059e+02
8.191740177057835126e+01,4.104743507658717760e+01,8.821031169649032790e+02
1.178916165648177206e+01,3.847206362946412384e+01,6.082722280011208795e+02
8.847357341449952628e+01,1.924420474187834529e+01,6.526827382268179463e+02
1.833507536462770560e+01,1.279915828660593746e+01,4.429547069534474986e+02
7.506869101105569086e+01,9.268593608483332247e+00,6.064443976371201188e+02
6.564483335521997276e+01,5.607132980327151017e+01,9.934638166684130738e+02
2.850955239710668465e+01,8.853335836674509096e+01,7.462915854064600580e+02
9.119439783936961419e+01,5.229702666995450500e+00,4.416910135507744712e+02
6.253666372485724168e+01,2.780379011612657081e+01,8.535053365585440588e+02
2.815774529840728846e+01,5.332051044812722296e+01,8.513246897076875257e+02
3.695938107204841572e+01,5.846740893591477572e+01,9.251636361037620873e+02
9.936492655543625574e+01,5.948943021933288122e+01,7.822664783121591654e+02
1.339773094671045151e+01,9.313239029302899041e+00,3.337360901822185610e+02
1.468098510561151038e+01,8.340652486910340713e+01,6.344243044201156181e+02
8.264874058379793098e+01,8.225861327255768174e+01,8.583713664269633909e+02
3.567629241310334720e+01,1.840000157659078539e+01,6.737069847653721126e+02
1.386388090578261156e+01,6.051706547127510305e+01,7.008901014976530632e+02
5.144560249269557772e+01,4.645606391335247309e+01,9.640425114249457010e+02
5.674402782800635947e+01,6.336943419272864730e+01,9.970261496351822643e+02
1.885099264612168923e+01,8.465937886711833471e+01,6.766414006652627222e+02
8.575923601994924184e+01,9.608637454573954528e+01,7.238073269281628654e+02
1.575804871958203002e+01,5.192582787889055140e+00,3.027733250555180007e+02
8.112250258945142889e+01,3.393978370796102428e+00,4.870174553512466673e+02
5.666879633230217195e+01,9.160502970379457111e+01,8.581516026071418537e+02
9.610816629810831557e+01,8.685580795372224827e+01,7.154765122261005672e+02
5.809784624148893784e+01,8.002952722965694932e-01,5.070018454956497749e+02
1.899986417993751076e+01,7.039915916022391684e+01,7.486314863106736084e+02
1.777295158821967647e+00,2.776187870068719121e+01,3.775536754795423349e+02
2.154623619261293399e+01,2.841267844974506573e+01,6.520261051833639385e+02
3.369083244614168393e+01,1.299223546361860659e+00,4.184879832342238046e+02
9.588840770120538082e+01,9.621252421957868251e+01,6.347551507093617147e+02
3.012077482829078434e+01,7.158541754020890835e+01,8.557599769801817047e+02
4.253415109510585523e+01,7.630685150331902378e+01,9.198575110393350087e+02
4.143953172049664602e+01,3.071902570714750880e+01,8.311796270534380255e+02
7.868833945027459720e+01,1.608676802723596477e+00,4.717810874375410322e+02
2.910419849350355292e+01,7.817787434297007110e+01,8.194965227436343866e+02
8.256096550561301228e+01,9.698973168193296601e+01,7.362505745832328330e+02
2.686277443377850105e+01,3.186651160779578973e+01,7.345172826907332819e+02
7.573315413168393206e+01,9.174541179304199545e+01,8.236686269257992308e+02
8.450119733692227442e+01,4.144427720524269887e+01,8.673372758264008553e+02
4.262518893558081601e+01,3.398775814058531353e+01,8.625727308243012885e+02
5.289760592273470508e+01,9.347963203954490652e+00,6.324010626680402538e+02
7.615753453703837295e+01,4.162687407312133558e+01,9.159684862115874466e+02
8.407127027139821962e+01,6.960308526029413656e+01,9.057066531330603993e+02
4.489615827459060426e+01,7.863853473674573991e+01,9.192177274997434324e+02
3.879163910567621087e+01,7.444459522033407950e+01,9.075626416989197196e+02
9.760046300843183076e+01,3.778808398335523577e+01,7.320441376644216689e+02
2.130337981600016661e+01,2.773977944442562915e+01,6.433537358290682278e+02
5.911650456101844497e+01,3.864097618108789334e+01,9.358784709878694912e+02
7.483423102763448753e+01,1.009062650155857455e+01,6.190582573515969216e+02
9.047010080171139634e+01,1.654585185972742423e+01,6.042026333587388081e+02
3.620977521463110094e+01,9.739996659640807763e+01,7.239524353880757417e+02
5.488094427292361388e+01,9.783760616399185039e+00,6.419867794916368666e+02
7.916348545303108608e+01,2.682523769837904482e+01,7.937998693442862077e+02
6.104139472673310252e+01,6.492491478986222830e+01,9.965503809993693949e+02
2.708777434841407228e+01,5.850515484526367516e+01,8.475430515546727293e+02
3.843276152541186264e+00,5.647587087989381871e+01,5.551045941273580411e+02
3.651326659600889712e+01,6.006884296082183283e+01,9.225756147977836008e+02
5.875885875240049572e+00,7.604180240773924027e+01,5.521863160636229395e+02
4.480452681174386953e+01,4.161062503495661957e+01,9.201242580864825413e+02
4.701851311516603715e+01,2.052160357428060067e+01,7.573588775435104026e+02
5.983918655939287845e+01,9.867575016309773162e+01,7.898592471585250223e+02
3.125099169881908523e+01,6.784018194033755833e+01,8.752998503556640344e+02
2.306339706561435321e+01,5.629188363823966768e+01,8.064137564863472107e+02
5.894818012004544272e+01,4.904614213371658593e+01,9.830913481556038960e+02
1.211807025109776781e+01,5.286235218214141440e+01,6.706958596941304904e+02
2.916091966317167916e+01,2.294107510423295437e+01,6.733963267239606694e+02
3.211893258052478384e+00,8.062251337143145236e+00,1.676664187760848108e+02
6.302639912839214276e+01,7.128671514550296706e+01,9.809189194961621752e+02
9.454888223493351518e+01,7.355141920997915861e+01,8.065257164387960529e+02
4.964849426034872693e+01,7.951017206478794286e+00,6.042644442654603836e+02
3.315785316506910618e+01,2.883989934255474097e+01,7.623641709020505459e+02
7.300457896789137635e+01,5.099347542149935464e+01,9.649391842780750039e+02
5.638114786196217665e+01,1.146822426377012150e+01,6.672094307141802574e+02
6.914338498765292229e+01,6.156102759686709192e+01,9.880186266394567838e+02
6.792501965931393215e+01,8.670707762346641800e+01,8.910283333478602117e+02
6.663698625393305974e+01,4.391460652732052239e+01,9.575524321328695123e+02
4.941874670997502506e+01,8.037891348510171952e+01,9.260007905798704542e+02
8.671153090252630591e+01,7.749139881853828626e+01,8.568190957346176901e+02
1.503118791165936052e+01,4.714665339918007447e+01,6.926542604607503790e+02
6.969577580659058924e+01,5.411399284943443178e+01,9.820287518747890090e+02
8.015106019102400126e+01,8.961500099289914090e+01,8.197596699255774411e+02
7.026169627224361136e+01,1.141035557031574399e+01,6.534590806798282756e+02
1.142234751799799852e+01,1.196274395330413398e+01,3.440745710266298829e+02
9.703800267482888842e+01,2.704442759846295985e+01,6.546359144203318010e+02
2.966311860231195396e+01,3.867935744063166759e+00,4.278798755598407411e+02
6.435975554546831745e+01,3.629354931048369792e+01,9.184471497978231582e+02
9.714559017001975860e+01,4.268033664418148021e+01,7.640068924482992543e+02
8.711526788971386281e+01,3.268954760188154296e+01,7.919312110775093743e+02
3.869805448268376580e+01,4.868178555646698413e+01,9.183246407553040171e+02
4.725410448756584003e+01,5.052298766863031432e+01,9.646531400931137341e+02
6.315436911858696156e+00,1.018663846885322677e+01,2.462407339932377113e+02
7.160723192504203638e+00,9.064524856713212841e+01,4.756717748090121631e+02
7.150978070724589486e+01,8.033539122890780959e+01,9.233667050658883682e+02
3.949226269439088099e+01,2.249426536879439809e+01,7.432770874320862049e+02
9.803894754549580171e+01,7.275985877617586084e+01,7.738445851414975323e+02
7.418691487211866331e+01,8.748703261519658270e+01,8.656249941364962979e+02
7.122879079693346682e+01,3.551428099717709586e+01,8.981177824940248229e+02
