,weight,prod_distance,time_delivery,target
67,64.0,2680.0,6.0,733494.6076797519
68,64.0,2471.0,5.0,702204.7823521411
69,46.0,2043.0,9.0,643339.7027244101
70,37.0,2105.0,2.0,608574.2537311212
71,1.0,2631.0,6.0,481276.41799837875
72,82.0,2135.0,4.0,736667.8579669729
73,82.0,2913.0,1.0,836925.9104500827
74,1.0,2043.0,13.0,454698.35272441007
75,19.0,2098.0,5.0,536513.0853577651
76,37.0,2028.0,3.0,613316.5447340297
77,10.0,1467.0,5.0,557128.2302069425
78,73.0,1772.0,7.0,747516.9133498312
79,46.0,1346.0,11.0,706375.7769504638
80,19.0,1237.0,6.0,602333.9818052801
81,64.0,2118.0,4.0,694322.5124994892
82,46.0,2631.0,14.0,667950.3679983787
83,64.0,2631.0,5.0,724322.9479983787
84,82.0,2631.0,14.0,765953.5279983788
85,37.0,2680.0,9.0,646452.007679752
86,73.0,2135.0,8.0,716153.707966973
87,82.0,2231.0,7.0,734154.0240008646
88,19.0,2074.0,12.0,536801.5412369472
89,10.0,2796.0,7.0,560401.3212148325
90,28.0,1335.0,1.0,641394.1153672726
91,28.0,1237.0,3.0,640074.31180528
92,10.0,2074.0,13.0,496087.88123694714
93,55.0,1567.0,2.0,721684.1149412772
94,10.0,1161.0,4.0,556675.6449294311
95,64.0,1335.0,13.0,760746.7153672726
96,37.0,2028.0,11.0,612308.5447340297
97,73.0,1731.0,2.0,752605.922182472
98,10.0,1734.0,6.0,530004.0766874629
99,55.0,2913.0,1.0,767721.4004500827
100,19.0,1734.0,2.0,570750.1366874628
101,64.0,1335.0,9.0,761538.7153672726
102,19.0,1467.0,8.0,597211.2602069426
103,28.0,2501.0,8.0,583775.0699192637
104,82.0,2105.0,7.0,737726.5037311212
105,55.0,2028.0,4.0,673810.5847340297
106,10.0,1237.0,13.0,560723.65180528
107,37.0,2043.0,1.0,612321.8327244101
108,64.0,2913.0,4.0,793570.5704500827
109,73.0,2416.0,6.0,720354.0123281042
110,46.0,2163.0,8.0,637410.1125970788
111,55.0,1928.0,13.0,680936.3491183892
112,55.0,2501.0,3.0,679607.3399192637
113,82.0,1731.0,14.0,770923.712182472
114,10.0,2043.0,13.0,498100.22272441006
115,28.0,1734.0,10.0,607428.1966874629
116,64.0,2043.0,1.0,698787.4427244101
117,55.0,1459.0,11.0,729840.2939110985
118,73.0,2471.0,2.0,725422.172352141
119,19.0,2488.0,10.0,544404.0924644242
120,82.0,2471.0,6.0,745246.562352141
121,19.0,1161.0,6.0,596902.1349294311
122,73.0,1567.0,9.0,769801.1749412772
123,64.0,2163.0,9.0,692006.4525970788
124,28.0,1797.0,5.0,600906.4781415536
125,19.0,1346.0,8.0,603115.3569504637
126,64.0,1237.0,2.0,760948.6318052801
127,82.0,1346.0,9.0,804276.3369504637
128,46.0,2796.0,4.0,705416.8812148325
129,37.0,1346.0,2.0,675753.6369504638
130,1.0,2913.0,11.0,549500.3804500827
131,28.0,2488.0,11.0,581825.0124644242
132,55.0,2936.0,3.0,774922.2508572766
133,73.0,2105.0,6.0,717764.0537311212
134,82.0,1567.0,11.0,789472.2049412772
135,73.0,1467.0,9.0,778426.4402069426
136,55.0,2680.0,13.0,706334.407679752
137,82.0,1467.0,1.0,799168.4702069425
138,46.0,1237.0,6.0,706077.9718052801
139,46.0,2028.0,3.0,645053.0647340297
140,64.0,2105.0,13.0,693571.6037311212
141,55.0,1783.0,3.0,697779.7158336187
142,82.0,1734.0,5.0,772119.5566874628
143,46.0,1731.0,6.0,674684.552182472
144,1.0,1284.0,8.0,519653.8918735134
145,55.0,2631.0,3.0,698508.1579983787
146,46.0,2680.0,2.0,678940.207679752
147,73.0,2488.0,13.0,725702.6124644242
148,55.0,1772.0,3.0,699029.9533498312
149,46.0,1161.0,8.0,700373.6049294312
150,55.0,2471.0,8.0,675909.3923521412
151,55.0,1335.0,3.0,736344.5653672726
152,10.0,1731.0,10.0,529773.3921824719
153,1.0,2416.0,1.0,454833.4923281041
154,82.0,2796.0,9.0,802894.4412148325
155,37.0,2913.0,5.0,706789.0604500828
156,64.0,1467.0,14.0,754453.4102069426
157,55.0,2105.0,9.0,668452.1537311212
158,82.0,1467.0,14.0,797413.4702069425
159,82.0,2501.0,3.0,748700.6099192636
160,10.0,2913.0,13.0,592548.5504500828
161,10.0,2163.0,11.0,492406.43259707873
162,82.0,2098.0,10.0,737625.8253577651
163,55.0,2074.0,4.0,670748.1812369471
164,28.0,1161.0,11.0,633627.6249294311
165,1.0,2105.0,12.0,451180.45373112115
166,55.0,2700.0,10.0,711075.1314326305
167,46.0,1459.0,13.0,700638.9839110986
168,1.0,2631.0,5.0,481375.41799837875
169,55.0,2501.0,2.0,679652.3399192637
170,64.0,2501.0,10.0,704735.4299192637
171,19.0,2231.0,5.0,532498.4940008646
172,28.0,1346.0,8.0,640622.4969504637
173,55.0,1161.0,4.0,729548.0949294312
174,19.0,1467.0,7.0,597346.2602069426
175,82.0,2476.0,11.0,744987.0187274452
176,28.0,1797.0,12.0,599835.4781415536
177,55.0,1567.0,8.0,721144.1149412772
178,55.0,1804.0,14.0,693728.2918136714
179,10.0,2231.0,12.0,490924.7040008646
180,55.0,2098.0,5.0,669316.3653577651
181,46.0,1783.0,4.0,668918.2458336187
182,64.0,2488.0,11.0,703104.6924644242
183,19.0,1772.0,11.0,565336.0333498312
184,1.0,2074.0,6.0,453880.2212369471
185,64.0,2501.0,13.0,704114.4299192637
186,19.0,2163.0,2.0,533956.1025970788
187,10.0,2043.0,10.0,498721.22272441006
188,64.0,2118.0,14.0,692702.5124994892
189,82.0,2105.0,6.0,737843.5037311212
190,37.0,2028.0,4.0,613253.5447340297
191,37.0,2631.0,6.0,637599.5779983787
192,46.0,2416.0,14.0,641095.6923281042
193,10.0,2936.0,10.0,600432.0508572765
194,82.0,2043.0,13.0,740339.1827244101
195,37.0,1783.0,9.0,636618.7758336186
196,82.0,1567.0,13.0,789040.2049412772
197,73.0,1772.0,8.0,747381.9133498312
198,82.0,2231.0,13.0,733074.0240008646
199,28.0,1928.0,11.0,586185.7891183892
200,19.0,2488.0,6.0,544980.0924644242
201,28.0,1567.0,13.0,625114.0249412772
202,64.0,2631.0,2.0,724511.9479983787
203,64.0,2028.0,9.0,699130.1047340297
204,19.0,2028.0,5.0,540951.5047340296
205,28.0,1284.0,3.0,641401.5718735134
206,64.0,1783.0,3.0,723662.1858336186
207,55.0,2501.0,14.0,677924.3399192637
208,1.0,1467.0,1.0,513994.20020694257
209,1.0,2796.0,2.0,517336.6812148326
210,46.0,1734.0,5.0,674439.3166874629
211,64.0,2471.0,12.0,701133.7823521411
212,73.0,2074.0,6.0,719469.5012369471
213,19.0,1928.0,10.0,548815.2691183892
214,46.0,2028.0,5.0,644909.0647340297
215,10.0,1237.0,6.0,561920.65180528
216,82.0,2680.0,3.0,776916.007679752
217,73.0,1731.0,9.0,751912.922182472
218,19.0,2028.0,12.0,539880.5047340296
219,73.0,1467.0,5.0,778930.4402069426
220,1.0,2135.0,7.0,450655.5079669729
221,10.0,2796.0,9.0,560113.3212148325
222,10.0,1346.0,7.0,562827.2169504637
223,82.0,2471.0,9.0,744841.562352141
224,28.0,2098.0,8.0,573736.905357765
225,10.0,1467.0,13.0,555832.2302069425
226,73.0,2105.0,5.0,717863.0537311212
227,37.0,1928.0,8.0,621342.3091183892
228,10.0,2936.0,2.0,601296.0508572765
229,37.0,1161.0,7.0,668850.1149294311
230,46.0,2028.0,6.0,644810.0647340297
231,46.0,1772.0,3.0,670232.4733498312
232,19.0,1335.0,9.0,603167.9653672726
233,82.0,2043.0,5.0,741635.1827244101
234,64.0,2163.0,8.0,692159.4525970788
235,73.0,2680.0,1.0,756856.807679752
236,82.0,1928.0,3.0,751314.9091183891
237,64.0,1797.0,12.0,720866.3981415535
238,46.0,1783.0,11.0,667973.2458336187
239,82.0,1928.0,5.0,751170.9091183891
240,10.0,2231.0,4.0,492076.7040008646
241,1.0,2471.0,3.0,459502.0523521411
242,1.0,2098.0,7.0,452399.44535776513
243,37.0,2471.0,12.0,614552.6123521412
244,37.0,1797.0,6.0,635439.2081415536
245,10.0,2118.0,10.0,494350.7924994892
246,55.0,1797.0,6.0,695954.6681415535
247,55.0,2476.0,1.0,676980.4987274453
248,19.0,1804.0,14.0,561030.8518136714
249,46.0,2163.0,11.0,636897.1125970788
250,10.0,2098.0,8.0,495671.26535776514
251,1.0,2105.0,1.0,452467.45373112115
252,10.0,2796.0,2.0,560806.3212148325
253,28.0,2471.0,6.0,580832.222352141
254,46.0,2043.0,8.0,643492.7027244101
255,10.0,1804.0,4.0,522186.4918136714
256,73.0,1335.0,14.0,783429.8653672726
257,46.0,2488.0,9.0,648656.8524644242
258,73.0,2796.0,12.0,782185.8012148325
259,1.0,2163.0,8.0,449506.76259707875
260,19.0,1467.0,13.0,596266.2602069426
261,10.0,2631.0,12.0,523759.2079983787
262,82.0,2163.0,10.0,734920.7925970787
263,28.0,1731.0,2.0,608636.972182472
264,73.0,1804.0,1.0,744336.0118136714
265,19.0,2163.0,14.0,532228.1025970788
266,1.0,2471.0,1.0,459574.0523521411
267,55.0,1459.0,3.0,730848.2939110985
268,37.0,1928.0,10.0,621018.3091183892
269,82.0,2105.0,11.0,737078.5037311212
270,46.0,1284.0,14.0,705973.6918735134
271,64.0,2105.0,5.0,694867.6037311212
272,1.0,1161.0,8.0,512921.15492943116
273,64.0,1237.0,3.0,760903.6318052801
274,19.0,2913.0,5.0,634408.7204500827
275,1.0,2416.0,14.0,453078.4923281041
276,82.0,2416.0,8.0,740209.4523281042
277,82.0,2936.0,6.0,843889.9708572765
278,55.0,2074.0,8.0,670316.1812369471
279,37.0,1734.0,1.0,642945.2566874628
280,55.0,1734.0,10.0,702558.3766874628
281,28.0,2105.0,5.0,573725.8037311212
282,28.0,1928.0,9.0,586545.7891183892
283,19.0,1797.0,5.0,563358.7481415536
284,28.0,1335.0,14.0,639639.1153672726
285,1.0,2913.0,9.0,549860.3804500827
286,55.0,2105.0,3.0,669100.1537311212
287,37.0,1335.0,5.0,675768.2653672725
288,64.0,1459.0,1.0,756773.6039110986
289,73.0,1467.0,1.0,779146.4402069426
290,19.0,2700.0,1.0,578946.1314326305
291,73.0,2471.0,6.0,725134.172352141
292,82.0,2074.0,10.0,738970.1612369472
293,37.0,2680.0,13.0,645660.007679752
294,10.0,1459.0,4.0,557778.7439110986
295,55.0,1797.0,5.0,696053.6681415535
296,64.0,1284.0,9.0,761599.8118735134
297,73.0,1734.0,8.0,751722.4966874628
298,82.0,2936.0,8.0,843637.9708572765
299,73.0,2043.0,6.0,721462.3127244101
300,64.0,1161.0,11.0,754429.5849294312
301,46.0,2043.0,10.0,643168.7027244101
302,82.0,1804.0,5.0,764172.3718136714
303,55.0,2416.0,10.0,670815.1323281042
304,37.0,2488.0,4.0,617463.9324644243
305,1.0,1734.0,10.0,486054.01668746286
306,64.0,2700.0,3.0,737859.1314326305
307,55.0,2631.0,5.0,698364.1579983787
308,46.0,2028.0,9.0,644405.0647340297
309,19.0,2913.0,6.0,634309.7204500827
310,82.0,1284.0,1.0,805246.9318735134
311,28.0,2680.0,11.0,611380.807679752
312,46.0,2098.0,4.0,640570.545357765
313,28.0,1346.0,14.0,639434.4969504637
314,19.0,1567.0,3.0,589026.9949412772
315,64.0,2163.0,2.0,692699.4525970788
316,55.0,2501.0,8.0,679112.3399192637
317,28.0,2471.0,2.0,581120.222352141
318,1.0,2028.0,11.0,456202.4647340298
319,10.0,2098.0,3.0,496166.26535776514
320,46.0,2476.0,8.0,647552.6587274452
321,82.0,2163.0,1.0,735811.7925970787
322,64.0,2936.0,1.0,800980.4908572766
323,1.0,2416.0,10.0,453942.4923281041
324,1.0,2700.0,10.0,494049.1314326305
325,82.0,2700.0,8.0,780546.1314326304
326,82.0,1161.0,4.0,798279.5649294312
327,82.0,2501.0,7.0,748340.6099192636
328,82.0,1284.0,2.0,805219.9318735134
329,73.0,1731.0,10.0,751741.922182472
330,28.0,1797.0,6.0,600807.4781415536
331,1.0,2231.0,9.0,448072.9140008646
332,10.0,2135.0,1.0,494497.6579669729
333,82.0,2501.0,2.0,748745.6099192636
334,64.0,2501.0,1.0,705626.4299192637
335,55.0,1731.0,5.0,703577.342182472
336,46.0,1734.0,4.0,674520.3166874629
337,19.0,1804.0,6.0,562470.8518136714
338,46.0,2913.0,3.0,738749.2304500827
339,64.0,2471.0,6.0,702105.7823521411
340,19.0,2163.0,8.0,533416.1025970788
341,28.0,1237.0,10.0,639255.31180528
342,46.0,2488.0,1.0,649376.8524644242
343,28.0,1335.0,13.0,639882.1153672726
344,28.0,1467.0,5.0,635080.2902069426
345,1.0,2163.0,13.0,448561.76259707875
346,82.0,2700.0,6.0,780798.1314326304
347,1.0,1161.0,3.0,513416.15492943116
348,73.0,2231.0,10.0,713604.2340008646
349,55.0,1284.0,14.0,734727.2518735133
350,73.0,1734.0,5.0,752073.4966874628
351,73.0,1731.0,4.0,752497.922182472
352,1.0,1797.0,5.0,479515.2881415536
353,55.0,2796.0,5.0,734225.5212148326
354,82.0,2416.0,4.0,740641.4523281042
355,64.0,1567.0,14.0,745819.1449412772
356,64.0,2936.0,3.0,800908.4908572766
357,10.0,1237.0,2.0,562208.65180528
358,55.0,2118.0,2.0,668517.8924994892
359,37.0,2028.0,1.0,613388.5447340297
360,55.0,1346.0,9.0,735494.9169504638
361,82.0,2135.0,14.0,735047.8579669729
362,10.0,2105.0,9.0,495154.9037311211
363,46.0,1804.0,5.0,666466.9318136714
364,82.0,1804.0,4.0,764253.3718136714
365,73.0,1284.0,14.0,783486.3718735133
366,82.0,2028.0,14.0,741156.1447340297
367,10.0,2471.0,1.0,503014.4423521411
368,64.0,2163.0,6.0,692411.4525970788
369,10.0,1335.0,2.0,563438.8153672726
370,37.0,2135.0,14.0,605477.1079669729
371,82.0,2913.0,7.0,836493.9104500827
372,37.0,2796.0,4.0,673611.2412148325
373,73.0,1783.0,1.0,746700.6558336186
374,82.0,2074.0,13.0,738349.1612369472
375,37.0,1237.0,10.0,673836.64180528
376,82.0,2796.0,10.0,802723.4412148325
377,64.0,1346.0,12.0,760771.0569504637
378,55.0,1797.0,7.0,695837.6681415535
379,1.0,2105.0,8.0,451900.45373112115
380,46.0,2105.0,8.0,639777.7037311213
381,37.0,2163.0,12.0,604941.4425970789
382,37.0,2043.0,8.0,611754.8327244101
383,37.0,1804.0,5.0,634750.5718136714
384,37.0,1459.0,7.0,670033.6739110985
385,46.0,1161.0,11.0,699860.6049294312
386,10.0,1734.0,13.0,528807.0766874629
387,1.0,1567.0,10.0,504405.9349412772
388,28.0,2936.0,10.0,678648.5308572765
389,19.0,1567.0,7.0,588666.9949412772
390,28.0,2074.0,1.0,575661.2012369471
391,10.0,2231.0,8.0,491644.7040008646
392,73.0,1567.0,3.0,770449.1749412772
393,28.0,2501.0,5.0,584126.0699192637
394,55.0,2680.0,7.0,707414.407679752
395,1.0,1783.0,8.0,480753.8958336187
396,73.0,1346.0,9.0,784265.1969504637
397,28.0,2700.0,5.0,616359.1314326305
398,37.0,2631.0,12.0,636627.5779983787
399,73.0,2416.0,10.0,719778.0123281042
400,28.0,2680.0,1.0,612460.807679752
401,64.0,1284.0,3.0,762247.8118735134
402,46.0,2796.0,8.0,704984.8812148325
403,82.0,1335.0,4.0,805060.0153672725
404,1.0,1797.0,1.0,479731.2881415536
405,28.0,1783.0,9.0,601988.3058336186
406,19.0,2700.0,6.0,578631.1314326305
407,19.0,2416.0,4.0,538653.3723281042
408,10.0,2913.0,12.0,592773.5504500828
409,37.0,1772.0,1.0,638590.9933498312
410,55.0,1346.0,7.0,735782.9169504638
411,19.0,1467.0,1.0,597778.2602069426
412,1.0,1459.0,10.0,513673.43391109863
413,37.0,1567.0,7.0,660805.0549412773
414,64.0,2105.0,2.0,695056.6037311212
415,82.0,2471.0,2.0,745534.562352141
416,73.0,1928.0,14.0,729568.3891183891
417,37.0,2936.0,13.0,712761.7708572765
418,55.0,2105.0,1.0,669172.1537311212
419,37.0,2163.0,14.0,604473.4425970789
420,10.0,2476.0,6.0,503201.29872744525
421,37.0,1335.0,11.0,674904.2653672725
422,46.0,1467.0,6.0,701269.3502069425
423,28.0,2098.0,14.0,572548.905357765
424,55.0,1783.0,14.0,696096.7158336187
425,64.0,1335.0,11.0,761178.7153672726
426,28.0,1734.0,2.0,608292.1966874629
427,37.0,1797.0,5.0,635538.2081415536
428,46.0,1734.0,3.0,674583.3166874629
429,19.0,2416.0,9.0,538068.3723281042
430,19.0,2501.0,7.0,546298.9799192636
431,73.0,2043.0,8.0,721210.3127244101
432,46.0,2631.0,8.0,669138.3679983787
433,82.0,2074.0,11.0,738781.1612369472
434,28.0,1346.0,5.0,640973.4969504637
435,1.0,1346.0,13.0,518408.07695046376
436,10.0,1567.0,10.0,547764.9649412772
437,55.0,2416.0,9.0,670986.1323281042
438,10.0,1731.0,12.0,529377.3921824719
439,55.0,2471.0,10.0,675585.3923521412
440,1.0,1567.0,7.0,504864.9349412772
441,46.0,2135.0,13.0,637466.2579669729
442,28.0,2416.0,3.0,576319.8123281042
443,37.0,2700.0,9.0,650568.1314326305
444,19.0,2231.0,14.0,530959.4940008646
445,82.0,2028.0,9.0,742191.1447340297
446,1.0,2231.0,4.0,448657.9140008646
447,73.0,1928.0,4.0,731188.3891183891
448,19.0,1567.0,10.0,588207.9949412772
449,82.0,1567.0,4.0,790417.2049412772
450,37.0,2135.0,10.0,606341.1079669729
451,55.0,1237.0,8.0,734575.30180528
452,73.0,2913.0,12.0,815486.7404500827
453,1.0,2680.0,13.0,489319.2076797519
454,28.0,2098.0,10.0,573412.905357765
455,55.0,2043.0,7.0,672449.5727244101
456,46.0,2098.0,6.0,640390.545357765
457,28.0,1783.0,14.0,600953.3058336186
458,55.0,2074.0,2.0,670856.1812369471
459,55.0,1928.0,12.0,681161.3491183892
460,82.0,1346.0,4.0,804861.3369504637
461,1.0,1459.0,5.0,514348.43391109863
462,46.0,1346.0,10.0,706564.7769504638
463,64.0,1237.0,6.0,760660.6318052801
464,82.0,2118.0,11.0,736454.7524994892
465,55.0,2135.0,8.0,667241.4079669729
466,10.0,1804.0,6.0,522006.4918136714
467,10.0,1783.0,13.0,523187.3658336187
468,1.0,1734.0,9.0,486225.01668746286
469,10.0,1567.0,13.0,547143.9649412772
470,73.0,1335.0,7.0,784752.8653672726
471,28.0,1335.0,6.0,641079.1153672726
472,37.0,1804.0,9.0,634246.5718136714
473,28.0,2913.0,12.0,670985.8904500827
474,19.0,2231.0,13.0,531202.4940008646
475,28.0,1237.0,6.0,639831.31180528
476,64.0,2488.0,14.0,702429.6924644242
477,37.0,2471.0,11.0,614759.6123521412
478,46.0,1284.0,13.0,706216.6918735134
479,64.0,1237.0,5.0,760759.6318052801
480,28.0,1459.0,5.0,635648.3639110986
481,82.0,1467.0,13.0,797656.4702069425
482,64.0,1459.0,12.0,755486.6039110986
483,28.0,2074.0,14.0,573906.2012369471
484,1.0,1237.0,1.0,518906.3218052801
485,64.0,1284.0,14.0,760564.8118735134
486,10.0,1161.0,8.0,556243.6449294311
487,46.0,2631.0,11.0,668625.3679983787
488,46.0,1772.0,11.0,669224.4733498312
489,82.0,1161.0,5.0,798198.5649294312
490,46.0,1783.0,14.0,667298.2458336187
491,37.0,1459.0,1.0,670465.6739110985
492,64.0,1772.0,10.0,724092.4333498311
493,28.0,1734.0,1.0,608319.1966874629
494,19.0,2118.0,10.0,534843.4124994893
495,64.0,1335.0,7.0,761826.7153672726
496,10.0,1783.0,14.0,522944.3658336187
497,64.0,2231.0,12.0,690201.4440008645
498,64.0,2416.0,13.0,696133.5723281042
499,82.0,2043.0,6.0,741536.1827244101
500,19.0,2631.0,4.0,565449.9979983787
501,64.0,2488.0,12.0,702897.6924644242
502,10.0,2913.0,4.0,593925.5504500828
503,82.0,2700.0,7.0,780681.1314326304
504,73.0,1804.0,6.0,744021.0118136714
505,1.0,2074.0,3.0,454123.2212369471
506,1.0,1335.0,14.0,518372.66536727257
507,64.0,2913.0,5.0,793489.5704500827
508,28.0,2501.0,13.0,582830.0699192637
509,64.0,2416.0,2.0,697618.5723281042
510,55.0,2028.0,5.0,673729.5847340297
511,82.0,1797.0,2.0,765145.8581415537
512,37.0,1734.0,3.0,642873.2566874628
513,10.0,1772.0,9.0,525234.5533498311
514,46.0,2631.0,9.0,668985.3679983787
515,55.0,2231.0,8.0,664998.6540008646
516,73.0,1928.0,13.0,729811.3891183891
517,10.0,1335.0,7.0,563033.8153672726
518,10.0,1783.0,4.0,524564.3658336187
519,19.0,2135.0,2.0,534964.8079669729
520,82.0,2231.0,14.0,732831.0240008646
521,10.0,1284.0,2.0,563527.4518735134
522,1.0,2471.0,2.0,459547.0523521411
523,10.0,2118.0,6.0,494926.7924994892
524,28.0,1161.0,13.0,633195.6249294311
525,19.0,1797.0,13.0,562062.7481415536
526,55.0,2118.0,7.0,668112.8924994892
527,73.0,2043.0,1.0,721777.3127244101
528,73.0,2488.0,4.0,727079.6124644242
529,1.0,2700.0,5.0,494724.1314326305
530,19.0,2680.0,3.0,574761.6076797519
531,19.0,1734.0,6.0,570462.1366874628
532,82.0,2028.0,6.0,742596.1447340297
533,64.0,1928.0,4.0,708208.8691183892
534,64.0,1804.0,9.0,720647.6518136715
535,37.0,2488.0,12.0,616311.9324644243
536,73.0,1237.0,8.0,783325.9618052801
537,46.0,1731.0,11.0,673919.552182472
538,37.0,2105.0,12.0,607314.2537311212
539,46.0,2488.0,11.0,648296.8524644242
540,55.0,2680.0,10.0,706955.407679752
541,64.0,1731.0,12.0,728384.1321824719
542,10.0,2471.0,5.0,502798.4423521411
543,46.0,2476.0,9.0,647399.6587274452
544,82.0,1335.0,1.0,805195.0153672725
545,28.0,2231.0,9.0,569581.2840008646
546,82.0,2471.0,1.0,745561.562352141
547,19.0,2471.0,14.0,541783.832352141
548,73.0,1161.0,2.0,778393.0749294312
549,73.0,2680.0,8.0,756289.807679752
550,82.0,1797.0,3.0,765100.8581415537
551,10.0,1734.0,4.0,530184.0766874629
552,46.0,2231.0,10.0,635835.8640008646
553,37.0,2700.0,4.0,651153.1314326305
554,55.0,1731.0,7.0,703361.342182472
555,1.0,1567.0,8.0,504729.9349412772
556,55.0,2501.0,13.0,678167.3399192637
557,46.0,2028.0,4.0,644990.0647340297
558,46.0,2796.0,13.0,704039.8812148325
559,55.0,2028.0,12.0,672658.5847340297
560,55.0,1731.0,9.0,703073.342182472
561,28.0,2631.0,6.0,602892.7879983787
562,46.0,2913.0,5.0,738605.2304500827
563,37.0,1783.0,14.0,635583.7758336186
564,37.0,1734.0,7.0,642513.2566874628
565,1.0,1797.0,10.0,478840.2881415536
566,28.0,2796.0,8.0,638457.6012148325
567,37.0,2501.0,10.0,618146.1599192637
568,46.0,2631.0,7.0,669273.3679983787
569,10.0,1467.0,8.0,556777.2302069425
570,19.0,2936.0,1.0,641889.2908572765
571,55.0,2098.0,14.0,667777.3653577651
572,46.0,1928.0,11.0,652556.8291183892
573,1.0,1459.0,7.0,514132.43391109863
574,73.0,2043.0,5.0,721561.3127244101
575,10.0,2416.0,14.0,496513.9323281041
576,73.0,2043.0,11.0,720697.3127244101
577,1.0,2680.0,9.0,490111.2076797519
578,55.0,1804.0,8.0,694916.2918136714
579,19.0,1567.0,5.0,588882.9949412772
580,28.0,2471.0,4.0,581012.222352141
581,46.0,1783.0,3.0,668981.2458336187
582,28.0,1797.0,11.0,600042.4781415536
583,19.0,2163.0,11.0,532903.1025970788
584,1.0,1467.0,4.0,513859.20020694257
585,64.0,2631.0,1.0,724538.9479983787
586,37.0,1804.0,3.0,634894.5718136714
587,55.0,1772.0,7.0,698669.9533498312
588,1.0,2680.0,7.0,490399.2076797519
589,55.0,2501.0,10.0,678788.3399192637
590,10.0,1346.0,5.0,563043.2169504637
591,28.0,2098.0,7.0,573871.905357765
592,19.0,2074.0,9.0,537368.5412369472
593,82.0,2118.0,13.0,736022.7524994892
594,46.0,2700.0,1.0,683085.1314326305
595,37.0,1467.0,11.0,668818.3202069426
596,28.0,1928.0,10.0,586374.7891183892
597,82.0,2700.0,9.0,780393.1314326304
598,28.0,1346.0,2.0,641162.4969504637
599,73.0,1567.0,11.0,769441.1749412772
600,73.0,1797.0,11.0,744041.1281415536
601,55.0,1237.0,1.0,735142.30180528
602,73.0,2074.0,3.0,719712.5012369471
603,19.0,1804.0,2.0,562758.8518136714
604,82.0,1783.0,3.0,766679.1258336187
605,28.0,2680.0,2.0,612433.807679752
606,28.0,1734.0,14.0,606564.1966874629
607,1.0,2501.0,9.0,462040.79991926363
608,1.0,2098.0,8.0,452264.44535776513
